刹车力度,油门力度,LapTime,电机功率,时速,image_name
34,0,00:39.83,0,183,2026-01-31_15-47-51_Front_frame_006030.jpg
44,0,00:40.15,0,176,2026-01-31_15-47-51_Front_frame_006040.jpg
48,0,00:40.51,0,166,2026-01-31_15-47-51_Front_frame_006050.jpg
49,0,00:40.83,0,160,2026-01-31_15-47-51_Front_frame_006060.jpg
42,0,00:41.16,0,150,2026-01-31_15-47-51_Front_frame_006070.jpg
44,0,00:41.54,0,146,2026-01-31_15-47-51_Front_frame_006080.jpg
44,0,00:41.85,0,136,2026-01-31_15-47-51_Front_frame_006090.jpg
28,0,00:42.17,0,132,2026-01-31_15-47-51_Front_frame_006100.jpg
5,0,00:42.51,0,128,2026-01-31_15-47-51_Front_frame_006110.jpg
7,0,00:42.83,0,128,2026-01-31_15-47-51_Front_frame_006120.jpg
0,0,00:43.16,0,126,2026-01-31_15-47-51_Front_frame_006130.jpg
0,0,00:43.49,0,125,2026-01-31_15-47-51_Front_frame_006140.jpg
0,12,00:43.86,0,123,2026-01-31_15-47-51_Front_frame_006150.jpg
0,25,00:44.16,0,122,2026-01-31_15-47-51_Front_frame_006160.jpg
0,32,00:44.53,78,123,2026-01-31_15-47-51_Front_frame_006170.jpg
0,26,00:44.83,154,123,2026-01-31_15-47-51_Front_frame_006180.jpg
0,30,00:45.17,103,125,2026-01-31_15-47-51_Front_frame_006190.jpg
0,34,00:45.51,133,125,2026-01-31_15-47-51_Front_frame_006200.jpg
0,39,00:45.84,167,128,2026-01-31_15-47-51_Front_frame_006210.jpg
0,31,00:46.16,225,125,2026-01-31_15-47-51_Front_frame_006220.jpg
0,23,00:46.53,155,132,2026-01-31_15-47-51_Front_frame_006230.jpg
0,0,00:46.84,110,132,2026-01-31_15-47-51_Front_frame_006240.jpg
1,0,00:47.17,0,131,2026-01-31_15-47-51_Front_frame_006250.jpg
8,0,00:47.51,0,131,2026-01-31_15-47-51_Front_frame_006260.jpg
22,0,00:47.84,0,125,2026-01-31_15-47-51_Front_frame_006270.jpg
27,0,00:48.17,0,127,2026-01-31_15-47-51_Front_frame_006280.jpg
34,0,00:48.51,0,123,2026-01-31_15-47-51_Front_frame_006290.jpg
38,0,00:48.83,0,120,2026-01-31_15-47-51_Front_frame_006300.jpg
33,0,00:49.17,0,112,2026-01-31_15-47-51_Front_frame_006310.jpg
35,0,00:49.51,0,105,2026-01-31_15-47-51_Front_frame_006320.jpg
32,0,00:49.84,0,103,2026-01-31_15-47-51_Front_frame_006330.jpg
32,0,00:50.16,0,101,2026-01-31_15-47-51_Front_frame_006340.jpg
40,0,00:50.46,0,94,2026-01-31_15-47-51_Front_frame_006350.jpg
45,0,00:50.84,0,90,2026-01-31_15-47-51_Front_frame_006360.jpg
45,0,00:51.17,0,80,2026-01-31_15-47-51_Front_frame_006370.jpg
42,0,00:51.49,0,74,2026-01-31_15-47-51_Front_frame_006380.jpg
27,0,00:51.84,0,65,2026-01-31_15-47-51_Front_frame_006390.jpg
22,0,00:52.17,0,60,2026-01-31_15-47-51_Front_frame_006400.jpg
13,0,00:52.51,0,58,2026-01-31_15-47-51_Front_frame_006410.jpg
0,0,00:52.83,0,55,2026-01-31_15-47-51_Front_frame_006420.jpg
0,0,00:53.18,0,54,2026-01-31_15-47-51_Front_frame_006430.jpg
0,11,00:53.50,,52,2026-01-31_15-47-51_Front_frame_006440.jpg
0,34,00:53.83,0,52,2026-01-31_15-47-51_Front_frame_006450.jpg
0,37,00:54.17,107,54,2026-01-31_15-47-51_Front_frame_006460.jpg
0,37,00:54.51,133,56,2026-01-31_15-47-51_Front_frame_006470.jpg
0,37,00:54.82,138,60,2026-01-31_15-47-51_Front_frame_006480.jpg
0,39,00:55.15,145,62,2026-01-31_15-47-51_Front_frame_006490.jpg
0,51,00:55.49,162,67,2026-01-31_15-47-51_Front_frame_006500.jpg
0,77,00:55.84,290,71,2026-01-31_15-47-51_Front_frame_006510.jpg
0,85,00:56.15,553,86,2026-01-31_15-47-51_Front_frame_006520.jpg
0,91,00:56.49,706,94,2026-01-31_15-47-51_Front_frame_006530.jpg
0,100,00:56.82,795,111,2026-01-31_15-47-51_Front_frame_006540.jpg
0,100,00:57.15,983,120,2026-01-31_15-47-51_Front_frame_006550.jpg
0,100,00:57.51,986,135,2026-01-31_15-47-51_Front_frame_006560.jpg
0,100,00:57.84,978,143,2026-01-31_15-47-51_Front_frame_006570.jpg
0,100,00:58.16,982,155,2026-01-31_15-47-51_Front_frame_006580.jpg
0,100,00:58.49,976,162,2026-01-31_15-47-51_Front_frame_006590.jpg
0,100,00:58.84,979,174,2026-01-31_15-47-51_Front_frame_006600.jpg
0,100,00:59.17,975,178,2026-01-31_15-47-51_Front_frame_006610.jpg
0,100,00:59.49,970,189,2026-01-31_15-47-51_Front_frame_006620.jpg
0,100,00:59.83,971,193,2026-01-31_15-47-51_Front_frame_006630.jpg
0,78,01.00.17,961,202,2026-01-31_15-47-51_Front_frame_006640.jpg
0,16,01.00.51,745,204,2026-01-31_15-47-51_Front_frame_006650.jpg
0,20,01.00.84,445,205,2026-01-31_15-47-51_Front_frame_006660.jpg
0,18,01.01.17,64,204,2026-01-31_15-47-51_Front_frame_006670.jpg
0,0,01.01.51,0,203,2026-01-31_15-47-51_Front_frame_006680.jpg
0,0,01.01.84,0,202,2026-01-31_15-47-51_Front_frame_006690.jpg
0,0,01.02.17,0,200,2026-01-31_15-47-51_Front_frame_006700.jpg
0,0,01.02.49,0,198,2026-01-31_15-47-51_Front_frame_006710.jpg
0,0,01.02.84,0,197,2026-01-31_15-47-51_Front_frame_006720.jpg
0,6,01.03.17,0,195,2026-01-31_15-47-51_Front_frame_006730.jpg
0,5,01.03.51,0,194,2026-01-31_15-47-51_Front_frame_006740.jpg
0,0,01.03.84,0,192,2026-01-31_15-47-51_Front_frame_006750.jpg
18,0,01.04.17,0,191,2026-01-31_15-47-51_Front_frame_006760.jpg
40,0,01.04.54,0,187,2026-01-31_15-47-51_Front_frame_006770.jpg
45,0,01.04.86,0,181,2026-01-31_15-47-51_Front_frame_006780.jpg
50,0,01.05.17,0,170,2026-01-31_15-47-51_Front_frame_006790.jpg
54,0,01.05.50,0,164,2026-01-31_15-47-51_Front_frame_006800.jpg
54,0,01.05.83,0,151,2026-01-31_15-47-51_Front_frame_006810.jpg
55,0,01.06.17,0,145,2026-01-31_15-47-51_Front_frame_006820.jpg
56,0,01.06.50,0,131,2026-01-31_15-47-51_Front_frame_006830.jpg
58,0,01.06.86,0,123,2026-01-31_15-47-51_Front_frame_006840.jpg
56,0,01.07.17,0,108,2026-01-31_15-47-51_Front_frame_006850.jpg
50,0,01.07.50,0,102,2026-01-31_15-47-51_Front_frame_006860.jpg
45,0,01.07.84,0,90,2026-01-31_15-47-51_Front_frame_006870.jpg
17,0,01.08.17,0,86,2026-01-31_15-47-51_Front_frame_006880.jpg
8,0,01.08.50,0,82,2026-01-31_15-47-51_Front_frame_006890.jpg
36,0,01.08.86,0,81,2026-01-31_15-47-51_Front_frame_006900.jpg
38,0,01.09.17,0,75,2026-01-31_15-47-51_Front_frame_006910.jpg
37,0,01.09.51,0,71,2026-01-31_15-47-51_Front_frame_006920.jpg
35,0,01.09.82,0,63,2026-01-31_15-47-51_Front_frame_006930.jpg
0,0,01.10.17,0,60,2026-01-31_15-47-51_Front_frame_006940.jpg
0,19,01.10.54,0,57,2026-01-31_15-47-51_Front_frame_006950.jpg
0,47,01.10.83,0,56,2026-01-31_15-47-51_Front_frame_006960.jpg
0,59,01.11.18,196,61,2026-01-31_15-47-51_Front_frame_006970.jpg
0,63,01.11.53,296,70,2026-01-31_15-47-51_Front_frame_006980.jpg
0,55,01.11.84,346,75,2026-01-31_15-47-51_Front_frame_006990.jpg
0,57,01.12.18,304,79,2026-01-31_15-47-51_Front_frame_007000.jpg
0,49,01.12.50,332,86,2026-01-31_15-47-51_Front_frame_007010.jpg
0,49,01.12.84,288,87,2026-01-31_15-47-51_Front_frame_007020.jpg
0,57,01.13.18,275,91,2026-01-31_15-47-51_Front_frame_007030.jpg
0,57,01.13.49,351,94,2026-01-31_15-47-51_Front_frame_007040.jpg
0,57,01.13.84,368,102,2026-01-31_15-47-51_Front_frame_007050.jpg
0,54,01.14.17,374,105,2026-01-31_15-47-51_Front_frame_007060.jpg
0,46,01.14.49,341,112,2026-01-31_15-47-51_Front_frame_007070.jpg
0,0,01.14.84,274,114,2026-01-31_15-47-51_Front_frame_007080.jpg
19,0,01.15.18,0,115,2026-01-31_15-47-51_Front_frame_007090.jpg
40,0,01.15.50,0,110,2026-01-31_15-47-51_Front_frame_007100.jpg
42,0,01.15.84,0,106,2026-01-31_15-47-51_Front_frame_007110.jpg
40,0,01.16.18,0,97,2026-01-31_15-47-51_Front_frame_007120.jpg
26,0,01.16.54,0,93,2026-01-31_15-47-51_Front_frame_007130.jpg
0,0,01.16.84,0,89,2026-01-31_15-47-51_Front_frame_007140.jpg
0,28,01.17.18,0,88,2026-01-31_15-47-51_Front_frame_007150.jpg
0,42,01.17.53,61,88,2026-01-31_15-47-51_Front_frame_007160.jpg
0,42,01.17.85,210,90,2026-01-31_15-47-51_Front_frame_007170.jpg
0,48,01.18.18,215,95,2026-01-31_15-47-51_Front_frame_007180.jpg
0,55,01.18.54,264,97,2026-01-31_15-47-51_Front_frame_007190.jpg
0,61,01.18.83,335,103,2026-01-31_15-47-51_Front_frame_007200.jpg
0,64,01.19.17,404,107,2026-01-31_15-47-51_Front_frame_007210.jpg
0,65,01.19.50,455,115,2026-01-31_15-47-51_Front_frame_007220.jpg
0,78,01.19.84,475,112,2026-01-31_15-47-51_Front_frame_007230.jpg
0,87,01.20.17,531,125,2026-01-31_15-47-51_Front_frame_007240.jpg
0,92,01.20.50,798,135,2026-01-31_15-47-51_Front_frame_007250.jpg
0,98,01.20.83,382,147,2026-01-31_15-47-51_Front_frame_007260.jpg
0,100,01.21.17,987,153,2026-01-31_15-47-51_Front_frame_007270.jpg
0,88,01.21.54,978,165,2026-01-31_15-47-51_Front_frame_007280.jpg
0,86,01.21.83,351,170,2026-01-31_15-47-51_Front_frame_007290.jpg
0,100,01.22.17,305,179,2026-01-31_15-47-51_Front_frame_007300.jpg
0,100,01.22.54,978,185,2026-01-31_15-47-51_Front_frame_007310.jpg
0,100,01.22.83,968,194,2026-01-31_15-47-51_Front_frame_007320.jpg
0,100,01.23.19,961,202,2026-01-31_15-47-51_Front_frame_007330.jpg
0,94,01.23.50,958,206,2026-01-31_15-47-51_Front_frame_007340.jpg
0,79,01.23.87,845,214,2026-01-31_15-47-51_Front_frame_007350.jpg
0,67,01.24.17,557,216,2026-01-31_15-47-51_Front_frame_007360.jpg
0,0,01.24.50,534,217,2026-01-31_15-47-51_Front_frame_007370.jpg
25,0,01.24.84,0,216,2026-01-31_15-47-51_Front_frame_007380.jpg
41,0,01.25.17,0,210,2026-01-31_15-47-51_Front_frame_007390.jpg
48,0,01.25.53,0,205,2026-01-31_15-47-51_Front_frame_007400.jpg
51,0,01.25.84,0,195,2026-01-31_15-47-51_Front_frame_007410.jpg
49,0,01.26.17,0,186,2026-01-31_15-47-51_Front_frame_007420.jpg
50,0,01.26.50,0,176,2026-01-31_15-47-51_Front_frame_007430.jpg
51,0,01.26.84,0,171,2026-01-31_15-47-51_Front_frame_007440.jpg
52,0,01.27.17,0,158,2026-01-31_15-47-51_Front_frame_007450.jpg
53,0,01.27.51,0,152,2026-01-31_15-47-51_Front_frame_007460.jpg
59,0,01.27.84,0,137,2026-01-31_15-47-51_Front_frame_007470.jpg
56,0,01.28.17,0,125,2026-01-31_15-47-51_Front_frame_007480.jpg
50,0,01.28.50,0,116,2026-01-31_15-47-51_Front_frame_007490.jpg
51,0,01.28.85,0,110,2026-01-31_15-47-51_Front_frame_007500.jpg
44,0,01.29.17,0,98,2026-01-31_15-47-51_Front_frame_007510.jpg
40,0,01.29.50,0,94,2026-01-31_15-47-51_Front_frame_007520.jpg
